date,revenue,expenses
2016-04-05,317955,122238
2016-04-06,370640,289535
2016-04-07,496582,301842
2016-04-08,700573,503541
2016-04-09,725695,549176
2016-04-10,361476,169047
2016-04-11,606955,361279
2016-04-12,467280,314541
2016-04-13,895468,793672
2016-04-14,714568,648764
2016-04-15,486141,308409
2016-04-16,838685,642987
2016-04-17,478031,268827
2016-04-18,419180,361229
2016-04-19,366234,178713
2016-04-20,864242,795177
2016-04-21,478352,326849
2016-04-22,379459,224387
2016-04-23,709995,519793
2016-04-24,495004,355644
2016-04-25,766152,653865
2016-04-26,359163,126389
2016-04-27,775853,557788
2016-04-28,351934,138987
2016-04-29,725523,538397
2016-04-30,754137,596780
2016-05-01,305486,75897
2016-05-02,439407,359737
2016-05-03,520184,421072
2016-05-04,649652,511264
2016-05-05,622710,483554
2016-05-06,497775,288396
2016-05-07,589336,341177
2016-05-08,389780,291858
2016-05-09,452617,208465
2016-05-10,845977,702629
2016-05-11,650605,521270
2016-05-12,833636,757324
2016-05-13,338102,221117
2016-05-14,374460,193716
2016-05-15,664778,426098
2016-05-16,389930,238967
2016-05-17,831089,609740
2016-05-18,479208,397657
2016-05-19,454697,314884
2016-05-20,513945,276276
2016-05-21,531915,380890
2016-05-22,508124,333782
2016-05-23,737477,511193
2016-05-24,825830,766193
2016-05-25,583821,490563
2016-05-26,477804,261039
2016-05-27,339081,148185
2016-05-28,655249,475696
2016-05-29,519930,442980
2016-05-30,817313,612753
2016-05-31,514532,336662
2016-06-01,819332,769117
2016-06-02,616837,461234
2016-06-03,589106,527583
2016-06-04,328295,209606
2016-06-05,313807,239973
2016-06-06,735564,651090
2016-06-07,457504,364438
2016-06-08,538067,477667
2016-06-09,785008,609797
2016-06-10,694540,634195
2016-06-11,817923,734027
2016-06-12,466981,388082
2016-06-13,319870,241641
2016-06-14,503196,447613
2016-06-15,548683,362714
2016-06-16,534677,413140
2016-06-17,326790,141151
2016-06-18,748345,623538
2016-06-19,787462,607814
2016-06-20,839773,677121
2016-06-21,386188,191787
2016-06-22,829036,707244
2016-06-23,330355,149055
2016-06-24,751015,663963
2016-06-25,706332,467491
2016-06-26,456542,360510
2016-06-27,473416,389730
2016-06-28,605062,478081
2016-06-29,863586,714784
2016-06-30,801708,557375
2016-07-01,361629,177748
2016-07-02,628184,405327
2016-07-03,792734,575115
2016-07-04,590160,497342
2016-07-05,848248,697826
2016-07-06,513920,391993
2016-07-07,542804,296051
2016-07-08,676965,547500
2016-07-09,760857,597636
2016-07-10,804492,717159
2016-07-11,715916,539459
2016-07-12,428148,361572
2016-07-13,786261,616386
2016-07-14,655540,566135
2016-07-15,492714,348714
2016-07-16,583876,502275
2016-07-17,559747,441801
2016-07-18,723570,475142
2016-07-19,575987,473871
2016-07-20,317640,163454
2016-07-21,352528,239634
2016-07-22,559214,343507
2016-07-23,801108,743643
2016-07-24,668501,561747
2016-07-25,450159,307309
2016-07-26,472502,312737
2016-07-27,455576,312885
2016-07-28,311023,222152
2016-07-29,845735,601789
2016-07-30,688043,608532
2016-07-31,586103,455143
2016-08-01,366203,136310
2016-08-02,460775,344999
2016-08-03,309337,214875
2016-08-04,870715,628261
2016-08-05,814723,732149
2016-08-06,623673,471601
2016-08-07,664167,441185
2016-08-08,646809,440551
2016-08-09,595451,391566
2016-08-10,720571,592289
2016-08-11,427016,267237
2016-08-12,844447,775890
2016-08-13,797562,588430
2016-08-14,683934,443996
2016-08-15,617428,495324
2016-08-16,619187,432035
2016-08-17,382844,187918
2016-08-18,851820,679807
2016-08-19,465421,216654
2016-08-20,422402,214305
2016-08-21,418012,183958
2016-08-22,738661,647580
2016-08-23,698929,513489
2016-08-24,880466,711285
2016-08-25,873695,796601
2016-08-26,763556,536444
2016-08-27,875278,758512
2016-08-28,429473,296420
2016-08-29,778007,572944
2016-08-30,717009,665708
2016-08-31,618714,409032
2016-09-01,526156,394693
2016-09-02,468964,253214
2016-09-03,825303,750837
2016-09-04,361813,139866
2016-09-05,327712,251631
2016-09-06,412816,338462
2016-09-07,428778,285481
2016-09-08,886580,818280
2016-09-09,585977,471593
2016-09-10,435230,290203
2016-09-11,569114,397430
2016-09-12,634618,523726
2016-09-13,451456,365931
2016-09-14,405570,197966
2016-09-15,570846,514382
2016-09-16,300404,233842
2016-09-17,574907,417515
2016-09-18,535365,429851
2016-09-19,642786,479358
2016-09-20,350612,188048
2016-09-21,500244,342197
2016-09-22,304809,222175
2016-09-23,463273,413213
2016-09-24,444528,385259
2016-09-25,806964,562749
2016-09-26,749613,676548
2016-09-27,338765,285870
2016-09-28,616076,485217
2016-09-29,846237,652813
2016-09-30,501152,270343
2016-10-01,599888,445761
2016-10-02,392193,245767
2016-10-03,336187,123099
2016-10-04,805950,563574
2016-10-05,438311,376349
2016-10-06,808153,724851
2016-10-07,489089,353707
2016-10-08,886165,832154
2016-10-09,736341,556625
2016-10-10,612066,542284
2016-10-11,861419,612656
2016-10-12,425917,255263
2016-10-13,599770,378973
2016-10-14,781680,722484
2016-10-15,581342,487883
2016-10-16,839542,702297
2016-10-17,344238,215375
2016-10-18,301252,128046
2016-10-19,785450,634440
2016-10-20,615826,533057
2016-10-21,621638,464109
2016-10-22,627359,552659
2016-10-23,306949,251680
2016-10-24,617537,445906
2016-10-25,850222,756342
2016-10-26,755102,591099
2016-10-27,637889,448497
2016-10-28,776467,676878
2016-10-29,656600,570703
2016-10-30,615557,375920
2016-10-31,604462,392460
2016-11-01,550875,312570
2016-11-02,763389,699009
2016-11-03,370390,249456
2016-11-04,553490,447660
2016-11-05,867376,811847
2016-11-06,547940,403342
2016-11-07,665340,532353
2016-11-08,733027,633849
2016-11-09,808041,620032
2016-11-10,617623,445671
2016-11-11,516464,426578
2016-11-12,810736,711037
2016-11-13,617267,490871
2016-11-14,523777,383099
2016-11-15,305569,230290
2016-11-16,894124,674946
2016-11-17,729802,569026
2016-11-18,558090,406646
2016-11-19,345002,188702
2016-11-20,798870,635077
2016-11-21,511791,345513
2016-11-22,502846,281230
2016-11-23,324071,170824
2016-11-24,882531,823534
2016-11-25,472312,316210
2016-11-26,557218,421507
2016-11-27,514879,348834
2016-11-28,663714,572854
2016-11-29,726650,673425
2016-11-30,631868,471754
2016-12-01,853020,612478
2016-12-02,717170,553952
2016-12-03,357108,206344
2016-12-04,780721,623680
2016-12-05,411195,248971
2016-12-06,336668,223012
2016-12-07,585205,352253
2016-12-08,641396,399246
2016-12-09,864037,737747
2016-12-10,430560,323927
2016-12-11,666824,590169
2016-12-12,447979,276861
2016-12-13,449849,225176
2016-12-14,351745,298631
2016-12-15,670608,594106
2016-12-16,391865,292097
2016-12-17,512890,414762
2016-12-18,323624,122524
2016-12-19,323321,86684
2016-12-20,703704,570581
2016-12-21,474293,316038
2016-12-22,486717,270312
2016-12-23,680975,627801
2016-12-24,483868,316099
2016-12-25,395257,309859
2016-12-26,888579,671578
2016-12-27,510176,324783
2016-12-28,490471,316922
2016-12-29,772930,536437
2016-12-30,818862,696227
2016-12-31,775774,702014
2017-01-01,439789,247357
2017-01-02,689593,498208
2017-01-03,373686,193012
2017-01-04,367661,180788
2017-01-05,868535,804405
2017-01-06,545121,349778
2017-01-07,667257,470110
2017-01-08,566765,409550
2017-01-09,446106,246050
2017-01-10,558930,420835
2017-01-11,748874,637932
2017-01-12,862926,668993
2017-01-13,418033,269063
2017-01-14,466926,334723
2017-01-15,870559,628240
2017-01-16,731734,529685
2017-01-17,673220,441531
2017-01-18,521897,283352
2017-01-19,301062,162885
2017-01-20,547736,424834
2017-01-21,874736,732564
2017-01-22,395462,198760
2017-01-23,699445,629389
2017-01-24,750009,561555
2017-01-25,872203,766464
2017-01-26,566776,435091
2017-01-27,671923,573284
2017-01-28,699384,458474
2017-01-29,831849,604736
2017-01-30,767010,716018
2017-01-31,686193,563799
2017-02-01,326734,209077
2017-02-02,326069,248909
2017-02-03,837198,742042
2017-02-04,635623,403176
2017-02-05,770951,634509
2017-02-06,381264,180620
2017-02-07,323275,155350
2017-02-08,896562,842426
2017-02-09,774665,662797
2017-02-10,662920,530657
2017-02-11,491076,408909
2017-02-12,494053,333096
2017-02-13,872735,807256
2017-02-14,899991,730599
2017-02-15,412581,200133
2017-02-16,565956,380061
2017-02-17,721240,651655
2017-02-18,416421,218077
2017-02-19,825893,749274
2017-02-20,764374,639305
2017-02-21,372303,282408
2017-02-22,458211,404491
2017-02-23,487210,417943
2017-02-24,444990,248222
2017-02-25,458518,247478
2017-02-26,424040,320676
2017-02-27,823138,618721
2017-02-28,718034,616467
2017-03-01,840677,699448
2017-03-02,603571,360892
2017-03-03,422883,222426
2017-03-04,687952,439980
2017-03-05,412221,162905
2017-03-06,560669,314172
2017-03-07,825134,696616
2017-03-08,835242,702398
2017-03-09,641383,427392
2017-03-10,544761,404064
2017-03-11,437541,330345
2017-03-12,364323,198723
2017-03-13,489139,338514
2017-03-14,480448,298881
2017-03-15,535659,440904
2017-03-16,689678,440922
2017-03-17,404537,321213
2017-03-18,541983,413054
2017-03-19,866821,684197
2017-03-20,301917,200645
2017-03-21,582762,365837
2017-03-22,856542,642546
2017-03-23,667436,542974
2017-03-24,809930,604969
2017-03-25,871650,766975
2017-03-26,582272,458681
2017-03-27,685925,482219
2017-03-28,889833,807470
2017-03-29,382180,137356
2017-03-30,703081,576077
2017-03-31,601953,364483
2017-04-01,678892,588174
2017-04-02,305287,141660
2017-04-03,557665,480795
2017-04-04,308512,221118
2017-04-05,756292,654235
2017-04-06,408872,279077
2017-04-07,393070,262661
2017-04-08,729474,666458
2017-04-09,342078,249941
2017-04-10,668432,487207
2017-04-11,527645,338720
2017-04-12,836507,774128
2017-04-13,605073,408209
2017-04-14,427309,256140
2017-04-15,629588,410149
2017-04-16,764008,564836
2017-04-17,646699,470617
2017-04-18,635842,472753
2017-04-19,686594,442066
2017-04-20,343925,282876
2017-04-21,437023,255165
2017-04-22,387388,175617
2017-04-23,832295,659511
2017-04-24,557802,460111
2017-04-25,735048,516936
2017-04-26,358596,250610
2017-04-27,651005,431171
2017-04-28,839812,635140
2017-04-29,822244,677470
2017-04-30,712498,511616
2017-05-01,799097,643782
2017-05-02,448056,340852
2017-05-03,314060,243975
2017-05-04,777272,549346
2017-05-05,818545,597694
2017-05-06,490279,253000
2017-05-07,339711,255731
2017-05-08,443026,336909
2017-05-09,635484,440271
2017-05-10,765317,574901
2017-05-11,518134,452238
2017-05-12,402974,263621
2017-05-13,449646,369833
2017-05-14,702400,586721
2017-05-15,450168,258415
2017-05-16,892016,838788
2017-05-17,835534,649880
2017-05-18,738774,677377
2017-05-19,811937,592066
2017-05-20,711597,624586
2017-05-21,392263,263080
2017-05-22,835590,692336
2017-05-23,865445,640109
2017-05-24,879205,786888
2017-05-25,523810,294824
2017-05-26,396646,244157
2017-05-27,645266,418940
2017-05-28,790025,699929
2017-05-29,780703,676918
2017-05-30,643054,540710
2017-05-31,567552,397170
2017-06-01,359379,109761
2017-06-02,325053,78378
2017-06-03,702662,493178
2017-06-04,398723,238234
2017-06-05,875644,642914
2017-06-06,572933,342312
2017-06-07,332154,270605
2017-06-08,513942,438203
2017-06-09,564480,493271
2017-06-10,665821,508770
2017-06-11,581173,516057
2017-06-12,332265,262220
2017-06-13,665060,457661
2017-06-14,543322,457613
2017-06-15,474944,381327
2017-06-16,870485,629274
2017-06-17,748396,540419
2017-06-18,454782,209562
2017-06-19,371907,202128
2017-06-20,502967,410048
2017-06-21,602775,469254
2017-06-22,691182,451664
2017-06-23,582247,348747
2017-06-24,364772,135806
2017-06-25,426108,369661
2017-06-26,314382,258883
2017-06-27,384291,295250
2017-06-28,663339,582024
2017-06-29,582753,400382
2017-06-30,447550,277044
2017-07-01,532050,345984
2017-07-02,732882,544321
2017-07-03,637827,496180
2017-07-04,792313,709958
2017-07-05,686858,563053
2017-07-06,895603,777236
2017-07-07,688349,528443
2017-07-08,314153,146744
2017-07-09,540773,413418
2017-07-10,355318,189098
2017-07-11,694030,556857
2017-07-12,677177,625181
2017-07-13,376077,281690
2017-07-14,433515,380426
2017-07-15,506988,358161
2017-07-16,425885,355226
2017-07-17,841656,746478
2017-07-18,488014,342049
2017-07-19,391751,260483
2017-07-20,530203,395161
2017-07-21,511951,355480
2017-07-22,805155,685044
2017-07-23,495716,280079
2017-07-24,884567,734132
2017-07-25,615172,475930
2017-07-26,300126,136922
2017-07-27,327632,123676
2017-07-28,800315,733116
2017-07-29,409945,299907
2017-07-30,617320,509534
2017-07-31,550869,391233
2017-08-01,798716,699422
2017-08-02,475399,260149
2017-08-03,762120,568383
2017-08-04,434869,384335
2017-08-05,478954,337126
2017-08-06,334560,248428
2017-08-07,584260,418540
2017-08-08,432717,346607
2017-08-09,478595,238769
2017-08-10,679862,566282
2017-08-11,794592,591051
2017-08-12,400158,286142
2017-08-13,468502,372269
2017-08-14,732498,552635
2017-08-15,630388,382608
2017-08-16,618408,379104
2017-08-17,768276,611965
2017-08-18,357545,273136
2017-08-19,811411,611015
2017-08-20,313224,123414
2017-08-21,340738,266684
2017-08-22,480760,401051
2017-08-23,766725,607404
2017-08-24,832358,781995
2017-08-25,426161,365803
2017-08-26,832954,648642
2017-08-27,598512,502823
2017-08-28,866202,814266
2017-08-29,501579,339307
2017-08-30,804471,663397
2017-08-31,629670,404633
2017-09-01,518967,468085
2017-09-02,683152,481856
2017-09-03,394270,239043
2017-09-04,843385,667520
2017-09-05,447313,273568
2017-09-06,458768,246871
2017-09-07,546726,467841
2017-09-08,870451,649323
2017-09-09,319816,135541
2017-09-10,614997,373684
2017-09-11,455989,272673
2017-09-12,506524,358202
2017-09-13,887111,768492
2017-09-14,451878,380294
2017-09-15,826047,767526
2017-09-16,735165,504076
2017-09-17,433554,350013
2017-09-18,751282,672219
2017-09-19,393501,273233
2017-09-20,564223,388005
2017-09-21,359676,191470
2017-09-22,473532,227508
2017-09-23,897135,676500
2017-09-24,520178,299354
2017-09-25,449521,265882
2017-09-26,726752,529559
2017-09-27,888365,705619
2017-09-28,557009,430598
2017-09-29,437717,277841
2017-09-30,681915,434568
2017-10-01,862288,614135
2017-10-02,851025,640813
2017-10-03,600709,410310
2017-10-04,486240,412909
2017-10-05,876775,803771
2017-10-06,574486,405243
2017-10-07,602950,411386
2017-10-08,610914,375045
2017-10-09,378623,139456
2017-10-10,665321,470500
2017-10-11,483675,370458
2017-10-12,516454,377410
2017-10-13,409575,350530
2017-10-14,507606,437490
2017-10-15,805815,737148
2017-10-16,592822,467765
2017-10-17,376218,252013
2017-10-18,887518,810216
2017-10-19,636199,443844
2017-10-20,749589,537582
2017-10-21,778446,655912
2017-10-22,762052,549356
2017-10-23,634402,570962
2017-10-24,339986,178985
2017-10-25,647739,551238
2017-10-26,772327,589986
2017-10-27,627073,569205
2017-10-28,897794,686471
2017-10-29,334911,207002
2017-10-30,725037,590514
2017-10-31,312175,92374
2017-11-01,616915,551181
2017-11-02,799876,576375
2017-11-03,366358,143949
2017-11-04,710543,489146
2017-11-05,347057,213457
2017-11-06,568294,324708
2017-11-07,554726,496293
2017-11-08,578176,387993
2017-11-09,826486,672500
2017-11-10,467292,353539
2017-11-11,444931,281148
2017-11-12,743676,671925
2017-11-13,462491,264966
2017-11-14,681009,460969
2017-11-15,701921,490772
2017-11-16,560910,345063
2017-11-17,323236,84020
2017-11-18,387955,289385
2017-11-19,530785,303616
2017-11-20,394914,320411
2017-11-21,507990,324139
2017-11-22,678387,541547
2017-11-23,838884,657057
2017-11-24,494269,405006
2017-11-25,692417,533926
2017-11-26,438155,333068
2017-11-27,420674,197321
2017-11-28,556713,455231
2017-11-29,741501,505572
2017-11-30,843351,670362
2017-12-01,367642,169170
2017-12-02,390093,299978
2017-12-03,807606,743357
2017-12-04,517215,289318
2017-12-05,335954,175593
2017-12-06,327856,253256
2017-12-07,826861,739155
2017-12-08,859655,790433
2017-12-09,795553,646512
2017-12-10,622918,468414
